LAT;;;;;6.93548;6.93548;6.93548;6.93548;6.93548;6.93548;6.93548;6.93548
LON;;;;;79.8487;79.8487;79.8487;79.8487;79.8487;79.8487;79.8487;79.8487
ASL;;;;;1.00000;1.00000;1.00000;1.00000;1.00000;1.00000;1.00000;1.00000
CITY;;;;;Colombo;Colombo;Colombo;Colombo;Colombo;Colombo;Colombo;Colombo
DOMAIN;;;;;NEMSIN;NEMSIN;NEMSIN;NEMSIN;NEMSIN;NEMSIN;NEMSIN;NEMSIN
LEVEL;;;;;2 m above gnd;2 m above gnd;sfc;sfc;sfc;sfc;10 m above gnd;10 m above gnd
NAME;;;;;Temperature;Relative Humidity;Total Precipitation (high resolution);Total Cloud Cover;Sunshine Duration;Shortwave Radiation;Wind Speed;Wind Direction
UNIT;;;;;°C;%;mm;%;min;W/m2;km/h;°
AGGREGATION;;;;;;;;;;;;
UTC_OFFSET;;;;;5;5;5;5;5;5;5;5

Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Total Precipitation (high resolution)  [sfc];Total Cloud Cover  [sfc];Sunshine Duration  [sfc];Shortwave Radiation  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd]
2020;03;01;14;00;30.73;60.00;0.00;6.00;53.62;852.62;17.87;279.27
2020;03;01;15;00;29.57;65.00;0.00;0.00;56.17;727.13;19.83;273.12
2020;03;01;16;00;29.03;67.00;0.00;1.00;60.00;534.89;18.36;271.12
2020;03;01;17;00;28.15;71.00;0.00;3.00;59.36;307.05;15.48;270.00
2020;03;01;18;00;26.41;78.00;0.00;1.00;52.06;72.09;7.24;264.29
2020;03;01;19;00;26.16;80.00;0.00;0.00;0.00;0.00;6.52;263.66
2020;03;01;20;00;26.06;80.00;0.00;0.00;0.00;0.00;6.13;266.63
2020;03;01;21;00;25.83;81.00;0.00;0.00;0.00;0.00;5.77;266.42
2020;03;01;22;00;25.73;83.00;0.00;0.00;0.00;0.00;3.32;257.47
2020;03;01;23;00;25.61;84.00;0.00;0.00;0.00;0.00;2.28;161.57
2020;03;02;00;00;25.29;85.00;0.00;0.00;0.00;0.00;4.68;112.62
2020;03;02;01;00;24.44;88.00;0.00;0.00;0.00;0.00;5.80;97.13
2020;03;02;02;00;23.75;90.00;0.00;1.20;0.00;0.00;6.12;90.00
2020;03;02;03;00;23.17;92.00;0.00;1.80;0.00;0.00;5.76;90.00
2020;03;02;04;00;22.74;92.00;0.00;0.60;0.00;0.00;5.86;79.38
2020;03;02;05;00;22.37;89.00;0.00;0.00;0.00;0.00;6.38;73.61
2020;03;02;06;00;22.27;89.00;0.00;0.00;8.45;0.00;7.52;73.30
2020;03;02;07;00;24.76;80.00;0.00;0.00;60.00;115.70;7.28;81.47
2020;03;02;08;00;28.17;69.00;0.00;0.00;60.00;355.11;4.38;80.54
2020;03;02;09;00;29.72;64.00;0.00;10.00;60.00;574.05;2.88;270.00
2020;03;02;10;00;30.77;61.00;0.00;10.00;53.62;716.45;8.64;270.00
2020;03;02;11;00;31.12;61.00;0.00;10.00;53.62;826.81;14.44;265.71
2020;03;02;12;00;30.82;63.00;0.00;10.00;53.62;884.66;17.87;260.73
2020;03;02;13;00;30.61;63.00;0.00;0.90;53.62;881.10;18.64;259.99
2020;03;02;14;00;30.45;62.00;0.00;1.50;59.43;845.50;18.18;262.03
2020;03;02;15;00;30.00;63.00;0.00;0.00;59.04;719.12;17.41;262.87
2020;03;02;16;00;29.18;67.00;0.00;0.00;60.00;536.67;15.50;267.34
2020;03;02;17;00;27.95;72.00;0.00;0.00;60.00;307.94;12.98;273.18
2020;03;02;18;00;25.69;82.00;0.00;0.00;53.75;72.98;7.42;284.04
2020;03;02;19;00;25.36;85.00;0.00;0.00;0.00;0.00;5.69;304.70
2020;03;02;20;00;25.05;87.00;0.00;0.00;0.00;0.00;4.33;355.24
2020;03;02;21;00;24.63;89.00;0.00;0.90;0.00;0.00;5.12;50.71
2020;03;02;22;00;24.10;90.00;0.00;0.30;0.00;0.00;5.77;86.42
2020;03;02;23;00;23.71;90.00;0.00;0.00;0.00;0.00;6.03;107.35
